x,y
1289,820
1297,828
1305,836
1313,844
1321,852
1329,844
1337,836
1329,828
1337,820
1329,812
1337,804
1345,812
1353,820
1361,828
1369,836
1377,844
1369,836
1377,844
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1361,828
1369,836
1377,828
1385,836
1377,828
1385,836
1377,828
1385,836
1393,844
1401,836
1409,828
1417,820
1425,812
1433,804
1441,796
1433,788
1441,780
1433,772
1425,764
1433,756
1425,748
1417,740
1425,732
1417,724
1409,716
1417,708
1425,700
1417,692
1425,684
1417,676
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
