x,y
2384,959
2376,951
2384,943
2376,935
2384,927
2392,919
2400,911
2408,903
2416,911
2424,903
2432,895
2424,903
2416,911
2424,919
2432,911
2440,903
2432,911
2424,919
2432,911
2440,919
2448,911
2440,903
2432,911
2440,903
2432,895
2424,903
2416,911
2424,903
2432,911
2424,903
2416,895
2424,887
2432,895
2440,903
2448,895
2440,887
2432,895
2424,903
2432,895
2440,903
2432,895
2440,887
2448,895
2456,903
2448,895
2456,887
2464,879
2472,871
2464,863
2472,871
2464,879
2472,887
2464,895
2456,887
2448,879
2440,871
2432,879
2440,871
2432,863
2440,871
2448,879
2440,887
2432,879
2424,871
2432,879
2424,887
2432,879
2424,871
2416,863
2408,871
2416,879
2424,887
2416,879
2424,871
2432,863
2424,871
2432,863
2440,871
2448,879
2456,871
2464,863
2472,871
2464,863
2472,871
2480,879
2488,871
2480,863
2472,871
2464,879
2456,871
2464,879
2456,871
2464,863
2472,871
2464,879
2456,887
2448,895
2456,903
2464,895
2472,887
2480,895
2472,887
2480,895
2488,903
2480,911
2472,903
2480,895
2472,903
2464,911
2472,919
2480,927
2472,935
2480,927
2472,919
2464,927
2472,935
2464,943
2472,935
2480,943
2488,951
2496,959
2488,967
2480,959
2488,967
2480,975
2488,967
2480,975
2488,967
2496,975
2504,983
2496,991
2488,999
2496,991
2488,999
2480,991
2488,999
2496,991
2488,983
2496,975
2488,983
2496,991
2488,999
2480,1007
2472,1015
2464,1007
2472,999
2480,1007
2488,1015
2480,1023
2488,1015
2496,1023
2488,1031
2496,1039
2488,1031
2496,1023
2504,1015
2496,1007
2488,999
2480,991
2488,999
2496,1007
2488,999
2496,1007
2488,1015
2480,1007
2472,1015
2464,1023
2456,1015
2448,1023
2440,1031
2448,1023
2456,1031
2448,1039
2440,1047
2448,1039
2440,1047
2432,1039
2424,1047
2416,1055
2408,1063
2400,1055
2392,1047
2384,1039
2376,1047
2384,1055
2376,1047
2368,1055
2360,1047
2352,1039
2344,1047
2336,1055
2328,1047
2336,1039
2344,1031
2352,1039
2360,1031
2352,1039
2360,1031
2352,1039
2360,1047
2352,1039
2344,1047
2336,1055
2328,1047
2320,1055
2312,1047
2320,1055
2312,1063
2304,1055
2296,1063
2288,1071
2296,1079
2288,1087
2296,1095
2288,1103
2296,1095
2304,1103
2296,1111
2288,1119
2296,1127
2288,1135
2296,1127
2288,1119
2296,1127
2304,1119
2312,1111
2304,1119
2296,1127
2288,1119
2280,1127
2272,1119
2280,1111
2288,1103
2280,1111
2288,1103
2296,1111
2304,1103
2296,1095
2288,1103
2280,1095
2272,1103
2280,1111
2288,1119
2296,1111
2288,1119
2296,1127
2288,1119
2280,1111
2288,1119
2296,1111
2288,1103
2296,1095
2304,1103
2296,1095
2304,1087
2312,1079
2304,1071
2296,1079
2288,1071
2280,1079
2288,1071
2296,1079
2288,1087
2280,1079
2272,1087
2280,1095
2272,1087
2280,1079
2272,1087
2264,1079
2272,1071
2264,1079
2256,1071
