x,y
2571,1198
2563,1190
2555,1182
2547,1174
2539,1166
2531,1158
2523,1150
2515,1142
2507,1134
2499,1126
2491,1118
2483,1110
2475,1102
2467,1094
2459,1086
2451,1078
2443,1070
2435,1062
2427,1054
2419,1046
2411,1038
2403,1030
2395,1022
2387,1014
2379,1006
2371,998
2363,990
2355,982
2347,974
2339,966
2331,958
2323,950
2315,942
2307,934
2299,926
2291,918
2283,910
2275,902
2267,894
2259,886
2251,878
2243,870
2235,862
2227,854
2219,846
2211,838
2203,830
2195,822
2187,814
2179,806
2171,798
2163,790
2155,782
2147,774
2139,766
2131,758
2123,750
2115,742
2107,734
2099,726
2091,718
2083,710
2075,702
2067,694
2059,686
2051,678
2043,670
2035,662
2027,654
2019,646
2011,638
2003,630
1995,622
1987,614
1979,606
1971,598
1963,590
1955,582
1947,574
1939,566
1931,558
1923,550
1915,542
1907,534
1899,526
1891,518
1883,510
1875,502
1867,494
1859,486
1851,478
1843,470
1835,462
1827,454
1819,446
1811,438
1803,430
1795,422
1787,414
1779,406
1771,398
1763,390
1755,382
1747,374
1739,366
1731,358
1723,350
1715,342
1707,334
1699,326
1691,318
1683,310
1675,302
1667,294
1659,286
1651,278
1643,270
1635,262
1627,254
1619,246
1611,238
1603,230
1595,222
1587,214
1579,206
1571,198
1563,190
1555,182
1547,174
1539,166
1531,158
1523,150
1515,142
1507,134
1499,126
1491,118
1483,110
1475,102
1467,94
1459,86
1451,78
1443,70
1435,78
1427,86
1419,94
1411,102
1403,110
1395,118
1387,126
1379,134
1371,142
1363,150
1355,158
1347,166
1339,174
1331,182
1323,190
1315,198
1307,206
1299,214
1291,222
1283,230
1275,238
1267,246
1259,254
1251,262
1243,270
1235,278
1227,286
1219,294
1211,302
1203,310
1195,318
1187,326
1179,334
1171,342
1163,350
1155,358
1147,366
1139,374
1131,382
1123,390
1115,398
1107,406
1099,414
1091,422
1083,430
1075,438
1067,446
1059,454
1051,462
1043,470
1035,478
1027,486
1019,494
1011,502
1003,510
995,518
987,526
979,534
971,542
963,550
955,558
947,566
939,574
931,582
923,590
915,598
907,606
899,614
891,622
883,630
875,638
867,646
859,654
851,662
843,670
835,678
827,686
819,694
811,702
803,710
795,718
787,726
779,734
771,742
