x,y
2000,1000
2008,992
2016,1000
2024,992
2032,984
2040,992
2032,984
2040,976
2048,968
2056,976
2048,968
2056,976
2064,968
2072,960
2080,968
2088,960
2096,952
2104,960
2096,968
2088,960
2096,952
2088,960
2080,968
2072,976
2064,984
2056,976
2064,984
2072,976
2080,968
2088,960
2096,952
2104,944
2112,936
2120,944
2112,952
2104,944
2096,952
2088,944
2080,952
2088,944
2080,952
2088,960
2080,968
2088,976
2080,968
2088,976
2080,984
2072,976
2080,968
2088,960
2080,952
2072,944
2080,936
2088,944
2096,952
2104,944
2112,952
2104,944
2096,952
2104,944
2112,952
2104,944
2112,936
2120,944
2128,936
2120,928
2128,936
2136,928
2128,920
2136,912
2128,920
2136,912
2128,920
2136,912
2128,920
2136,912
2144,920
2136,912
2144,904
2152,896
2144,904
2152,896
2160,904
2152,896
2144,888
2136,896
2128,904
2136,912
2144,904
2136,896
2144,904
2152,912
2144,904
2136,912
2128,920
2120,912
2128,904
2120,896
2128,904
2136,896
2144,904
