x,y
1289,820
1297,828
1305,836
1313,844
1321,852
1329,844
1337,836
1345,828
1337,820
1329,812
1321,804
1329,796
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,796
1321,804
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1345,812
1353,820
1345,812
1353,820
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,812
1337,804
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1329,796
1321,788
1313,796
1321,804
1329,812
1321,804
1313,796
1321,804
1313,796
1321,804
1313,796
1305,788
1313,796
1305,788
1313,796
1305,788
1297,796
1289,804
1297,796
1289,804
1297,796
1289,804
1297,796
1289,804
1281,796
1273,804
1265,812
1257,820
1249,812
1257,804
1249,812
1257,804
1249,812
1257,804
1249,812
1257,804
1249,812
1257,804
1265,796
1257,804
1265,796
1257,804
1265,796
1257,804
1265,796
1257,804
1265,796
1257,788
1249,796
1241,804
1249,796
1241,788
1233,780
1241,788
1233,780
1241,788
1249,796
1257,804
1249,812
1257,804
1265,796
1257,804
1249,796
1241,788
1233,796
1225,804
1217,812
1209,820
1201,828
1193,836
1185,844
1177,836
1169,828
1161,820
1153,812
1145,804
1153,812
1145,804
1137,796
1145,804
1137,796
1145,804
1137,796
1145,804
1137,796
1145,804
1153,796
1161,804
1169,812
1177,820
1185,828
1177,836
1169,828
1161,820
1153,812
1145,804
1153,796
1161,804
1153,796
1161,804
1153,796
1161,804
1153,796
1161,788
1153,796
1161,788
1169,796
1161,804
1153,812
1145,804
1153,812
1145,804
1153,812
1145,804
1153,812
1145,804
1153,796
1161,804
1153,796
1161,804
1153,796
1161,788
1153,796
1161,788
1153,780
1161,788
1153,780
1145,788
1153,796
1161,788
1153,780
1145,772
1137,780
1145,788
1153,796
1145,804
1153,812
1161,820
1169,828
1177,836
1169,828
1161,820
1153,812
1145,804
1153,812
1161,804
1153,796
1161,788
1169,796
1161,804
1153,796
1161,788
1153,780
1161,788
1153,780
1145,788
1153,796
1161,788
1169,780
1177,788
1169,796
1177,804
1169,812
1177,820
1169,812
1161,804
1153,796
1161,804
1153,796
1161,788
1169,780
1161,788
1169,780
1161,772
1153,764
1145,772
1137,780
1145,788
1153,796
1161,788
1169,780
1161,772
1153,780
1161,788
1169,780
1161,772
1153,780
1145,772
1137,764
1129,756
1121,748
1113,740
1105,732
1097,724
1089,716
1081,708
1073,700
1065,692
1057,684
1049,676
1041,668
1033,660
1025,652
1017,644
1009,636
1001,644
993,636
985,644
977,652
969,660
961,668
953,676
945,684
937,692
929,700
921,708
913,716
905,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
889,724
897,732
