x,y
2384,959
2376,967
2368,975
2360,983
2352,991
2344,999
2336,1007
2328,1015
2320,1023
2312,1031
2304,1039
2296,1047
2288,1055
2280,1063
2272,1071
2264,1079
2256,1087
2248,1095
2240,1103
2232,1111
2224,1119
2216,1127
2208,1135
2200,1143
2192,1151
2184,1159
2176,1167
2168,1175
2160,1183
2152,1191
2144,1199
2136,1207
2128,1215
2120,1223
2112,1231
2104,1239
2096,1247
2088,1255
2080,1263
2072,1271
2064,1279
2056,1287
2048,1295
2040,1303
2032,1311
2024,1319
2016,1327
2008,1335
2000,1343
1992,1351
1984,1359
1976,1367
1968,1375
1960,1367
1952,1359
1944,1351
1936,1343
1928,1335
1920,1327
1912,1319
1904,1311
1896,1303
1888,1295
1880,1287
1872,1279
1864,1271
1856,1263
1848,1255
1840,1247
1832,1239
1824,1231
1816,1223
1808,1215
1800,1207
1792,1199
1784,1191
1776,1183
1768,1175
1760,1167
1752,1159
1744,1151
1736,1143
1728,1135
1720,1127
1712,1119
1704,1111
1696,1103
1688,1095
1680,1087
1672,1079
1664,1071
1656,1063
1648,1055
1640,1047
1632,1039
1624,1031
1616,1023
1608,1015
1600,1007
1592,999
1584,991
1576,983
1568,975
1560,967
1552,959
1544,951
1536,943
1528,935
1520,927
1512,919
1504,911
1496,903
1488,895
1480,887
1472,879
1464,871
1456,863
1448,855
1440,847
1432,839
1424,831
1416,823
1408,815
1400,807
1392,799
1384,791
1376,783
1368,775
1360,767
1352,759
1344,751
1336,743
1328,735
1320,727
1312,719
1304,711
1296,703
1288,695
1280,687
1272,679
1264,671
1256,663
1248,655
1240,647
1232,639
1224,631
1216,623
1208,615
1200,607
1192,599
1184,591
1176,583
1168,575
1160,567
1152,559
1144,551
1136,543
1128,535
1120,527
1112,519
1104,511
1096,503
1088,495
1080,487
1072,479
1064,471
1056,463
1048,455
1040,447
1032,439
1024,431
1016,423
1008,415
1000,407
992,399
984,391
976,383
968,375
960,367
952,359
944,351
936,343
928,335
920,327
912,319
904,311
896,303
888,295
880,287
872,279
864,271
856,263
848,255
840,247
832,239
824,231
816,223
808,215
800,207
792,199
784,191
776,183
768,175
760,167
752,159
744,151
736,143
728,135
720,127
712,119
704,111
696,103
688,95
680,87
672,79
664,71
656,79
648,87
640,95
632,103
624,111
616,119
608,127
600,135
592,143
584,151
576,159
568,167
560,175
552,183
544,191
536,199
528,207
520,215
512,223
504,231
496,239
488,247
480,255
472,263
464,271
456,279
448,287
440,295
432,303
424,311
416,319
408,327
400,335
392,343
384,351
376,359
368,367
360,375
352,383
344,391
336,399
328,407
320,415
312,423
304,431
296,439
288,447
280,455
272,463
264,471
256,479
248,487
240,495
232,503
224,511
216,519
208,527
200,535
192,543
184,551
176,559
168,567
160,575
152,583
144,591
136,599
128,607
120,615
112,623
104,631
96,639
88,647
80,655
72,663
64,671
72,679
80,687
88,695
96,703
104,711
112,719
120,727
128,735
136,743
144,751
152,759
160,767
168,775
176,783
184,791
192,799
200,807
208,815
216,823
224,831
232,839
240,847
248,855
256,863
264,871
272,879
280,887
288,895
296,903
304,911
312,919
320,927
328,935
336,943
344,951
352,959
360,967
368,975
376,983
384,991
392,999
400,1007
408,1015
416,1023
424,1031
432,1039
440,1047
448,1055
456,1063
464,1071
472,1079
480,1087
488,1095
496,1103
504,1111
512,1119
520,1127
528,1135
536,1143
544,1151
552,1159
560,1167
568,1175
576,1183
584,1191
592,1199
600,1207
608,1215
616,1223
624,1231
632,1239
640,1247
648,1255
656,1263
664,1271
672,1279
680,1287
688,1295
696,1303
704,1311
712,1319
720,1327
728,1335
736,1343
744,1351
752,1359
760,1367
768,1375
760,1367
752,1359
744,1351
736,1343
728,1335
720,1327
712,1319
704,1311
696,1303
688,1295
680,1287
672,1279
664,1271
656,1263
648,1255
640,1247
632,1239
624,1231
616,1223
608,1215
600,1207
592,1199
584,1191
576,1183
568,1175
560,1167
552,1159
544,1151
536,1143
528,1135
520,1127
512,1119
504,1111
496,1103
488,1095
480,1087
472,1079
464,1071
456,1063
448,1055
440,1047
432,1039
424,1031
416,1023
408,1015
400,1007
392,999
384,991
376,983
368,975
360,967
352,959
344,951
336,943
328,935
320,927
312,919
304,911
296,903
288,895
280,887
272,879
264,871
256,863
248,855
240,847
232,839
224,831
216,823
208,815
200,807
192,799
184,791
176,783
168,775
160,767
152,759
144,751
136,743
128,735
120,727
112,719
104,711
96,703
88,695
80,687
72,679
64,671
72,679
80,687
88,695
96,703
104,711
112,719
120,727
128,735
136,743
144,751
152,759
160,767
168,775
176,783
184,791
192,799
200,807
208,815
216,823
224,831
232,839
240,847
248,855
256,863
264,871
272,879
280,887
288,895
296,903
304,911
312,919
320,927
328,935
336,943
344,951
352,959
360,967
368,975
376,983
384,991
392,999
400,1007
408,1015
416,1023
424,1031
432,1039
440,1047
448,1055
456,1063
464,1071
472,1079
480,1087
488,1095
496,1103
504,1111
512,1119
520,1127
528,1135
536,1143
544,1151
552,1159
560,1167
