x,y
2635,423
2627,431
2635,423
2627,431
2619,423
2627,415
2635,423
2643,415
2651,407
2643,399
2651,391
2659,399
2651,407
2643,399
2651,407
2659,415
2651,423
2659,415
2651,407
2643,415
2651,423
2643,415
2651,407
2643,415
2651,423
2643,415
2635,407
2627,399
2619,391
2627,399
2635,391
2627,399
2619,407
2627,399
2635,407
2627,399
2635,391
2627,399
2635,391
2627,383
2635,391
2643,399
2635,391
2627,399
2635,407
2627,399
2635,407
2627,399
2619,391
2627,399
2635,391
2627,399
2619,407
2627,415
2619,407
2611,399
2619,391
2611,383
2619,375
2627,367
2635,375
2627,367
2619,375
2627,367
2619,375
2611,367
2603,375
2611,367
2619,359
2627,367
2635,375
2643,367
2635,359
2627,367
2635,375
2627,367
2635,359
2627,351
2635,359
2627,351
2635,359
2643,351
2651,359
2643,351
2635,343
2643,335
2651,343
2659,335
2667,343
2675,335
2683,343
2691,335
2683,343
2675,351
2683,359
2691,351
2683,343
2675,335
2667,343
2675,335
2667,327
2675,335
2667,327
2675,335
2667,327
2675,335
2667,327
2659,319
2667,327
2675,335
2667,327
2675,319
2683,327
2691,319
2699,327
2691,335
2683,327
2675,319
2667,311
2659,303
2667,295
2675,287
2667,279
2675,287
2683,295
2675,303
2667,311
2675,303
2683,311
2691,303
2683,311
2691,303
2683,295
2675,287
2683,279
2691,271
2699,263
2707,255
2699,247
2691,239
2683,247
2691,239
2683,231
2691,223
2699,231
2707,239
2699,231
2707,223
2715,231
2707,223
2699,231
2707,239
2699,247
2691,239
2683,231
2691,239
2699,231
2691,239
2683,231
2691,223
2683,215
2675,207
2667,199
2659,191
2651,183
2643,175
2651,183
2659,175
2667,183
2675,175
2667,167
2659,175
2651,183
2659,191
2667,183
2659,191
2651,183
2659,175
2667,167
2659,159
2651,167
2659,175
2667,183
2659,175
2651,183
2643,175
2651,183
2643,175
2651,183
2643,175
2651,167
2659,159
2651,151
2659,143
2651,151
2643,143
2651,151
2643,143
2635,135
2643,127
2651,119
2643,111
2635,119
2643,111
2651,103
2659,111
2667,103
2675,95
2683,87
2675,79
2683,87
2675,95
2683,87
2675,95
2667,87
2675,79
2667,71
2675,79
2667,87
2675,79
2683,71
2691,79
2699,87
2691,79
2699,71
2691,79
2683,87
2691,79
2699,87
2691,95
2699,103
2707,95
2715,87
2707,95
2715,103
2707,111
2715,103
2723,95
2731,87
2739,95
2747,103
2755,95
2747,87
2739,79
2747,87
2739,95
2731,87
2739,95
2747,87
2755,95
2747,87
2755,79
2747,87
2739,79
2747,71
2739,79
2731,71
2723,79
2715,71
2723,79
2715,87
2723,79
2731,87
2739,95
2731,87
2739,79
2731,87
2739,95
2747,103
2755,95
2763,87
2755,95
2763,87
2771,95
2779,87
2771,79
2779,71
2771,79
2779,87
2771,95
2779,103
2787,95
2795,87
2803,95
2795,103
2787,95
2779,103
2787,111
2779,103
2771,111
2763,103
2755,111
2747,103
2739,111
2747,103
2755,95
2763,87
2771,79
2763,87
2771,79
2763,71
2771,79
2779,87
2771,79
2779,87
2787,79
2795,87
2787,79
2795,87
2803,95
2811,103
2803,111
2795,119
2787,111
2779,103
2787,95
2795,103
2787,95
2779,87
2787,79
2779,71
2787,79
2779,87
2771,79
2763,87
2755,95
2763,87
2771,95
2763,103
2771,111
2779,119
2787,111
2795,119
2787,127
2795,119
2787,127
2779,135
2787,143
2795,151
2787,159
2795,151
2787,159
2795,167
2787,159
2779,151
2787,143
2779,151
2771,159
2763,151
2755,159
2763,151
2771,159
2779,151
2787,143
2779,135
2787,143
2779,151
2771,159
2763,151
2771,159
2763,151
2771,159
2763,167
2771,159
2763,151
2755,143
2763,151
2755,143
2763,135
2755,143
2747,151
2739,159
2747,151
2755,143
