x,y
831,792
839,784
847,776
855,768
863,760
871,752
879,744
887,736
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
887,720
895,728
